Date,Reviews,Username,Stars,Helpful
2-Aug-18,Love the app but HATE that you cant use it for long trips. The routing servers can't handle a trip from NJ to TN. That's why it got 3 stars. Short trips are great but long definitely needs serious work,Shayne SantaLucia,Rated 3 stars out of five stars,2
3-Aug-18,"The app has many problems in getting the GPS signal. And now I get an error saying that ""there is a problem with my network connection"" but my network is working fine and google Maps works without problem.",Christian Morales,Rated 1 stars out of five stars,4
6-Aug-18,I've loved this app for years. I DON'T LIKE the recent change that you carryn only see your friends if you have Facebook. Not everyone lives their life through Facebook and I HATE that the option to see my friends has been taken away from me simply because I don't have Facebook.,Jennifer Eldridge,Rated 3 stars out of five stars,2
29-Jul-18,"This app works great until you switch to Android auto. It's very buggy if you're in Android auto and placing/receiving phone calls too. The speedometer breaks, sometimes the whole screen gets drawn without roads. Please work on improving that.",Mike O'Donnell,Rated 2 stars out of five stars,5
30-Jul-18,"Every Android fan should be using this every time they drive. This is your traffic guardian angel, even if you aren't using it to navigate.",Josh Cline,Rated 5 stars out of five stars,
5-Aug-18,"The route is very clear on the screen. I like that it shows your speed, and the speed limit. Overall the interface is terrific. However often the default route is bizarre. It can't find some common addresses. It has frozen on me twice now, and the pop ups for fuel is undesirable. It's OK but wil...
Full Review",Barclay Smith,Rated 3 stars out of five stars,
7-Aug-18,This app just got me around a main tunnel I use to commute to work daily. Which was completely closed sooner then anticipated.  this app. Google maps would have had me lost! ,Tya H.,Rated 5 stars out of five stars,
31-Jul-18,"Great app, however the gps keep messing up ever since the update. It's not my phone location. I tried every suggestion the web said to do but in the end nothing helps. So it's the app it self. Please fix this problem. It's inconvenient when you are driving somewhere and the app stops working in ...
Full Review",elaine s.,Rated 4 stars out of five stars,1
4-Aug-18,"Needs to improve shortest route suggestions because it doesn't offer the shortest route. Doesn't recognize if I deviate off a major highway and follow a parallel service or collector road. The police notification feature needs to give more than 1km advanced warning. Needs better voice command co...
Full Review",A Google user,Rated 3 stars out of five stars,224
29-Jul-18,Great app but could do with a very simple addition - measurement units in yards (and miles) please!! We don't use feet in the UK for road distances. Star knocked off for lack of consideration.,Andrew Norris,Rated 3 stars out of five stars,5
